min	max	weight
0.01	0.0157822784106	0.295349502731
0.0157822784106	0.0249080311831	1.09593170519
0.0249080311831	0.0393105482792	1.00484860423
0.0393105482792	0.0620410017416	1.25309865651
0.0620410017416	0.0979148362361	1.04727796943
0.0979148362361	0.154531920601	1.12619633755
0.154531920601	0.243886579425	0.986168334904
0.243886579425	0.384908589711	1.00217102364
0.384908589711	0.607473452546	1.0661018642
0.607473452546	0.958731515514	1.03608996383
0.958731515514	1.51309676989	1.02725344809
1.51309676989	2.38801144846	1.00875643284
2.38801144846	3.76882615274	0.98526126205
3.76882615274	5.94806636238	0.960558517438
5.94806636238	9.3874039336	0.971123096838
9.3874039336	14.8154622433	0.989334067537
14.8154622433	23.3821749906	1.01428597695
23.3821749906	36.9023995548	1.04126391275
36.9023995548	58.2403943794	1.03791207821
58.2403943794	91.916611884	1.03951578971
91.916611884	145.065355932	1.0308196335
145.065355932	228.946183505	1.00731347554
228.946183505	361.329240912	0.933575389011
361.329240912	570.259867798	0.953210600149
570.259867798	900.0	0.824530045736
