min	max	weight
0.01	0.0157822784106	0.901469733593
0.0157822784106	0.0249080311831	0.880488665609
0.0249080311831	0.0393105482792	0.939467780072
0.0393105482792	0.0620410017416	0.975432413554
0.0620410017416	0.0979148362361	1.11295029999
0.0979148362361	0.154531920601	1.06947687435
0.154531920601	0.243886579425	1.09374418343
0.243886579425	0.384908589711	1.12061074286
0.384908589711	0.607473452546	1.0987375498
0.607473452546	0.958731515514	1.08087132848
0.958731515514	1.51309676989	1.07534208585
1.51309676989	2.38801144846	1.04553245397
2.38801144846	3.76882615274	0.996554361519
3.76882615274	5.94806636238	0.965076692775
5.94806636238	9.3874039336	0.971035053707
9.3874039336	14.8154622433	0.987080739658
14.8154622433	23.3821749906	1.01228972544
23.3821749906	36.9023995548	1.02999781467
36.9023995548	58.2403943794	1.0284278046
58.2403943794	91.916611884	1.02658605353
91.916611884	145.065355932	1.00125335842
145.065355932	228.946183505	0.94508703843
228.946183505	361.329240912	0.922217143241
361.329240912	570.259867798	0.839742308016
570.259867798	900.0	0.857079634218
